;location;date;new_cases;new_deaths;population;aged_65_older_percent;gdp_per_capita;hospital_beds_per_thousand;year;month_of_year;week_of_year;weekday;day_of_year;code_3;country_code;continent;sub_region;hosp_level_natural_id;gdp_level_natural_id;hosp_level_pk;gdp_level_pk;hosp_level_desc;gdp_level_desc;sub_regions_id;continent_id;day_id
47;Afghanistan;2020-02-16;0;0;38928341;2.581;1803.987;0.5;2020;2;7;6;47;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737471
48;Afghanistan;2020-02-17;0;0;38928341;2.581;1803.987;0.5;2020;2;8;0;48;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737472
49;Afghanistan;2020-02-18;0;0;38928341;2.581;1803.987;0.5;2020;2;8;1;49;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737473
50;Afghanistan;2020-02-19;0;0;38928341;2.581;1803.987;0.5;2020;2;8;2;50;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737474
51;Afghanistan;2020-02-20;0;0;38928341;2.581;1803.987;0.5;2020;2;8;3;51;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737475
52;Afghanistan;2020-02-21;0;0;38928341;2.581;1803.987;0.5;2020;2;8;4;52;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737476
53;Afghanistan;2020-02-22;0;0;38928341;2.581;1803.987;0.5;2020;2;8;5;53;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737477
54;Afghanistan;2020-02-23;0;0;38928341;2.581;1803.987;0.5;2020;2;8;6;54;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737478
55;Afghanistan;2020-02-24;0;0;38928341;2.581;1803.987;0.5;2020;2;9;0;55;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737479
56;Afghanistan;2020-02-25;1;0;38928341;2.581;1803.987;0.5;2020;2;9;1;56;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737480
57;Afghanistan;2020-02-26;0;0;38928341;2.581;1803.987;0.5;2020;2;9;2;57;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737481
58;Afghanistan;2020-02-27;0;0;38928341;2.581;1803.987;0.5;2020;2;9;3;58;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737482
59;Afghanistan;2020-02-28;0;0;38928341;2.581;1803.987;0.5;2020;2;9;4;59;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737483
60;Afghanistan;2020-02-29;0;0;38928341;2.581;1803.987;0.5;2020;2;9;5;60;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737484
61;Afghanistan;2020-03-01;0;0;38928341;2.581;1803.987;0.5;2020;3;9;6;61;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737485
62;Afghanistan;2020-03-02;0;0;38928341;2.581;1803.987;0.5;2020;3;10;0;62;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737486
63;Afghanistan;2020-03-08;3;0;38928341;2.581;1803.987;0.5;2020;3;10;6;68;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737492
64;Afghanistan;2020-03-11;3;0;38928341;2.581;1803.987;0.5;2020;3;11;2;71;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737495
65;Afghanistan;2020-03-15;3;0;38928341;2.581;1803.987;0.5;2020;3;11;6;75;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737499
66;Afghanistan;2020-03-16;6;0;38928341;2.581;1803.987;0.5;2020;3;12;0;76;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737500
67;Afghanistan;2020-03-17;5;0;38928341;2.581;1803.987;0.5;2020;3;12;1;77;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737501
68;Afghanistan;2020-03-18;1;0;38928341;2.581;1803.987;0.5;2020;3;12;2;78;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737502
69;Afghanistan;2020-03-19;0;0;38928341;2.581;1803.987;0.5;2020;3;12;3;79;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737503
70;Afghanistan;2020-03-20;0;0;38928341;2.581;1803.987;0.5;2020;3;12;4;80;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737504
71;Afghanistan;2020-03-21;2;0;38928341;2.581;1803.987;0.5;2020;3;12;5;81;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737505
72;Afghanistan;2020-03-22;0;0;38928341;2.581;1803.987;0.5;2020;3;12;6;82;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737506
73;Afghanistan;2020-03-23;10;0;38928341;2.581;1803.987;0.5;2020;3;13;0;83;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737507
74;Afghanistan;2020-03-24;6;1;38928341;2.581;1803.987;0.5;2020;3;13;1;84;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737508
75;Afghanistan;2020-03-25;2;0;38928341;2.581;1803.987;0.5;2020;3;13;2;85;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737509
76;Afghanistan;2020-03-26;33;0;38928341;2.581;1803.987;0.5;2020;3;13;3;86;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737510
77;Afghanistan;2020-03-27;0;0;38928341;2.581;1803.987;0.5;2020;3;13;4;87;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737511
78;Afghanistan;2020-03-28;16;1;38928341;2.581;1803.987;0.5;2020;3;13;5;88;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737512
79;Afghanistan;2020-03-29;15;1;38928341;2.581;1803.987;0.5;2020;3;13;6;89;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737513
80;Afghanistan;2020-03-30;8;1;38928341;2.581;1803.987;0.5;2020;3;14;0;90;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737514
81;Afghanistan;2020-03-31;27;0;38928341;2.581;1803.987;0.5;2020;3;14;1;91;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737515
82;Afghanistan;2020-04-01;25;0;38928341;2.581;1803.987;0.5;2020;4;14;2;92;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737516
83;Afghanistan;2020-04-02;26;0;38928341;2.581;1803.987;0.5;2020;4;14;3;93;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737517
84;Afghanistan;2020-04-03;43;0;38928341;2.581;1803.987;0.5;2020;4;14;4;94;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737518
85;Afghanistan;2020-04-04;0;0;38928341;2.581;1803.987;0.5;2020;4;14;5;95;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737519
86;Afghanistan;2020-04-05;35;1;38928341;2.581;1803.987;0.5;2020;4;14;6;96;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737520
87;Afghanistan;2020-04-06;29;2;38928341;2.581;1803.987;0.5;2020;4;15;0;97;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737521
88;Afghanistan;2020-04-07;38;0;38928341;2.581;1803.987;0.5;2020;4;15;1;98;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737522
89;Afghanistan;2020-04-08;30;4;38928341;2.581;1803.987;0.5;2020;4;15;2;99;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737523
90;Afghanistan;2020-04-09;56;3;38928341;2.581;1803.987;0.5;2020;4;15;3;100;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737524
91;Afghanistan;2020-04-10;61;1;38928341;2.581;1803.987;0.5;2020;4;15;4;101;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737525
92;Afghanistan;2020-04-11;37;0;38928341;2.581;1803.987;0.5;2020;4;15;5;102;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737526
93;Afghanistan;2020-04-12;34;3;38928341;2.581;1803.987;0.5;2020;4;15;6;103;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737527
94;Afghanistan;2020-04-13;52;0;38928341;2.581;1803.987;0.5;2020;4;16;0;104;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737528
95;Afghanistan;2020-04-14;58;3;38928341;2.581;1803.987;0.5;2020;4;16;1;105;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737529
96;Afghanistan;2020-04-15;49;2;38928341;2.581;1803.987;0.5;2020;4;16;2;106;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737530
97;Afghanistan;2020-04-16;70;2;38928341;2.581;1803.987;0.5;2020;4;16;3;107;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737531
98;Afghanistan;2020-04-17;10;4;38928341;2.581;1803.987;0.5;2020;4;16;4;108;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737532
99;Afghanistan;2020-04-18;51;1;38928341;2.581;1803.987;0.5;2020;4;16;5;109;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737533
100;Afghanistan;2020-04-19;63;0;38928341;2.581;1803.987;0.5;2020;4;16;6;110;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737534
101;Afghanistan;2020-04-20;88;3;38928341;2.581;1803.987;0.5;2020;4;17;0;111;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737535
102;Afghanistan;2020-04-21;35;2;38928341;2.581;1803.987;0.5;2020;4;17;1;112;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737536
103;Afghanistan;2020-04-22;61;1;38928341;2.581;1803.987;0.5;2020;4;17;2;113;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737537
104;Afghanistan;2020-04-23;84;4;38928341;2.581;1803.987;0.5;2020;4;17;3;114;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737538
105;Afghanistan;2020-04-24;105;2;38928341;2.581;1803.987;0.5;2020;4;17;4;115;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737539
106;Afghanistan;2020-04-25;70;1;38928341;2.581;1803.987;0.5;2020;4;17;5;116;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737540
107;Afghanistan;2020-04-26;112;4;38928341;2.581;1803.987;0.5;2020;4;17;6;117;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737541
108;Afghanistan;2020-04-27;68;10;38928341;2.581;1803.987;0.5;2020;4;18;0;118;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737542
109;Afghanistan;2020-04-28;172;0;38928341;2.581;1803.987;0.5;2020;4;18;1;119;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737543
110;Afghanistan;2020-04-29;124;3;38928341;2.581;1803.987;0.5;2020;4;18;2;120;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737544
111;Afghanistan;2020-04-30;122;0;38928341;2.581;1803.987;0.5;2020;4;18;3;121;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737545
112;Afghanistan;2020-05-01;222;4;38928341;2.581;1803.987;0.5;2020;5;18;4;122;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737546
113;Afghanistan;2020-05-02;164;4;38928341;2.581;1803.987;0.5;2020;5;18;5;123;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737547
114;Afghanistan;2020-05-03;134;4;38928341;2.581;1803.987;0.5;2020;5;18;6;124;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737548
115;Afghanistan;2020-05-04;235;13;38928341;2.581;1803.987;0.5;2020;5;19;0;125;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737549
116;Afghanistan;2020-05-05;190;5;38928341;2.581;1803.987;0.5;2020;5;19;1;126;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737550
117;Afghanistan;2020-05-06;330;5;38928341;2.581;1803.987;0.5;2020;5;19;2;127;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737551
118;Afghanistan;2020-05-07;168;9;38928341;2.581;1803.987;0.5;2020;5;19;3;128;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737552
119;Afghanistan;2020-05-08;171;2;38928341;2.581;1803.987;0.5;2020;5;19;4;129;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737553
120;Afghanistan;2020-05-09;215;3;38928341;2.581;1803.987;0.5;2020;5;19;5;130;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737554
121;Afghanistan;2020-05-10;255;6;38928341;2.581;1803.987;0.5;2020;5;19;6;131;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737555
122;Afghanistan;2020-05-11;369;5;38928341;2.581;1803.987;0.5;2020;5;20;0;132;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737556
123;Afghanistan;2020-05-12;285;2;38928341;2.581;1803.987;0.5;2020;5;20;1;133;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737557
124;Afghanistan;2020-05-13;280;5;38928341;2.581;1803.987;0.5;2020;5;20;2;134;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737558
125;Afghanistan;2020-05-14;259;3;38928341;2.581;1803.987;0.5;2020;5;20;3;135;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737559
126;Afghanistan;2020-05-15;113;6;38928341;2.581;1803.987;0.5;2020;5;20;4;136;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737560
127;Afghanistan;2020-05-16;1063;32;38928341;2.581;1803.987;0.5;2020;5;20;5;137;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737561
128;Afghanistan;2020-05-17;0;0;38928341;2.581;1803.987;0.5;2020;5;20;6;138;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737562
129;Afghanistan;2020-05-18;262;1;38928341;2.581;1803.987;0.5;2020;5;21;0;139;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737563
130;Afghanistan;2020-05-19;408;4;38928341;2.581;1803.987;0.5;2020;5;21;1;140;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737564
